id_origin,id_destination,people
cod_63_4_18_gadm2-8,cod_63_5_19_gadm2-8,2512.437366
cod_63_4_18_gadm2-8,cod_63_5_20_gadm2-8,7175.298146
cod_63_4_18_gadm2-8,cod_63_5_21_gadm2-8,1286.500651
cod_63_4_18_gadm2-8,cod_63_5_22_gadm2-8,2954.496421
cod_63_4_18_gadm2-8,cod_63_6_23_gadm2-8,743.844483
cod_63_4_18_gadm2-8,cod_63_6_24_gadm2-8,369.723946
cod_63_4_18_gadm2-8,cod_63_6_25_gadm2-8,485.123153
cod_63_4_18_gadm2-8,cod_63_6_26_gadm2-8,738.657004
cod_63_4_18_gadm2-8,cod_63_6_27_gadm2-8,285.084616
cod_63_4_18_gadm2-8,cod_63_6_28_gadm2-8,406.070094
cod_63_4_18_gadm2-8,cod_63_7_29_gadm2-8,2610.666402
cod_63_4_18_gadm2-8,cod_63_8_30_gadm2-8,261.127447
cod_63_4_18_gadm2-8,cod_63_8_31_gadm2-8,469.389719
cod_63_4_18_gadm2-8,cod_63_8_32_gadm2-8,1155.084848
cod_63_4_18_gadm2-8,cod_63_8_33_gadm2-8,518.314981
cod_63_4_18_gadm2-8,cod_63_9_34_gadm2-8,331.306591
cod_63_4_18_gadm2-8,cod_63_9_35_gadm2-8,1263.020972
cod_63_4_18_gadm2-8,cod_63_2_7_gadm2-8,216.872603
cod_63_4_18_gadm2-8,cod_63_2_8_gadm2-8,458.068149
cod_63_4_18_gadm2-8,cod_63_2_9_gadm2-8,787.581938
cod_63_4_18_gadm2-8,cod_63_2_10_gadm2-8,414.433534
cod_63_4_18_gadm2-8,cod_63_3_11_gadm2-8,274.451041
cod_63_4_18_gadm2-8,cod_63_3_12_gadm2-8,236.044071
cod_63_4_18_gadm2-8,cod_63_3_13_gadm2-8,292.394794
cod_63_4_18_gadm2-8,cod_63_3_14_gadm2-8,244.350149
cod_63_4_18_gadm2-8,cod_63_3_15_gadm2-8,89.716842
cod_63_4_18_gadm2-8,cod_63_1_1_gadm2-8,327.516610
cod_63_4_18_gadm2-8,cod_63_1_2_gadm2-8,86.747883
cod_63_4_18_gadm2-8,cod_63_1_3_gadm2-8,389.055747
cod_63_4_18_gadm2-8,cod_63_1_4_gadm2-8,347.457333
cod_63_4_18_gadm2-8,cod_63_1_5_gadm2-8,436.726249
