iso,rank,name,population
WSM,181,Samoa,193
STP,182,São Tomé and Principe,190
LCA,183,St. Lucia,185
GUM,184,Guam,170
CHI,185,Channel Islands,164
CUW,186,Curaçao,158
KIR,187,Kiribati,112
VCT,188,St. Vincent and the Grenadines,109
GRD,189,Grenada,107
TON,190,Tonga,106
FSM,191,"Micronesia, Fed. Sts.",104
ABW,192,Aruba,104
VIR,193,Virgin Islands (U.S.),104
SYC,194,Seychelles,93
ATG,195,Antigua and Barbuda,92
IMN,196,Isle of Man,88
DMA,197,Dominica,73
AND,198,Andorra,70
BMU,199,Bermuda,65
CYM,200,Cayman Islands,60
GRL,201,Greenland,56
KNA,202,St. Kitts and Nevis,56
ASM,203,American Samoa,56
MNP,204,Northern Mariana Islands,55
MHL,205,Marshall Islands,53
FRO,206,Faroe Islands,48
SXM,207,Sint Maarten (Dutch part),39
MCO,208,Monaco,38
LIE,209,Liechtenstein,38
TCA,210,Turks and Caicos Islands,34
GIB,211,Gibraltar,32
SMR,212,San Marino,32
MAF,213,St. Martin (French part),32
VGB,214,British Virgin Islands,30
PLW,215,Palau,21
NRU,216,Nauru,12
TUV,217,Tuvalu,10
